city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Don Chan,16.4571,103.6956,Thailand,TH,Kalasin,minor,,
Sawi,10.2367,99.1094,Thailand,TH,Chumphon,minor,,
Dong Charoen,16.0206,100.6629,Thailand,TH,Phichit,minor,,
Ko Lanta,7.6573,99.0441,Thailand,TH,Krabi,minor,,
Thai Mueang,8.3991,98.2606,Thailand,TH,Phangnga,minor,,
Na Chaluai,14.5205,105.2448,Thailand,TH,Ubon Ratchathani,minor,,
Bueng Na Rang,16.1712,100.1253,Thailand,TH,Phichit,minor,,
Chiang Khong,20.2588,100.4081,Thailand,TH,Chiang Rai,minor,,
Noen Sa-nga,15.5643,102.0013,Thailand,TH,Chaiyaphum,minor,,
Kham Ta Kla,17.8523,103.7566,Thailand,TH,Sakon Nakhon,minor,,
Thung Tako,10.1102,99.0831,Thailand,TH,Chumphon,minor,,
Wang Thong,16.8246,100.4294,Thailand,TH,Phitsanulok,minor,,
Non Suwan,14.5804,102.5969,Thailand,TH,Buriram,minor,,
Phrasaeng,8.5678,99.2476,Thailand,TH,Surat Thani,minor,,
Kap Choeng,14.4749,103.5944,Thailand,TH,Surin,minor,,
Thung Wa,7.1096,99.7559,Thailand,TH,Satun,minor,,
Pak Tho,13.3726,99.8394,Thailand,TH,Ratchaburi,minor,,
Chumphon Buri,15.3486,103.3922,Thailand,TH,Surin,minor,,
Wang Pong,16.3415,100.7932,Thailand,TH,Phetchabun,minor,,
Senangkhanikhom,16.0397,104.6694,Thailand,TH,Amnat Charoen,minor,,
Khlong Hat,13.4518,102.2982,Thailand,TH,Sa Kaeo,minor,,
Kusuman,17.3326,104.3315,Thailand,TH,Sakon Nakhon,minor,,
Prachantakham,14.0644,101.5150,Thailand,TH,Prachin Buri,minor,,
Khamcha-i,16.5776,104.4196,Thailand,TH,Mukdahan,minor,,
Si Thep,15.4521,101.0667,Thailand,TH,Phetchabun,minor,,
Muak Lek,14.6529,101.2002,Thailand,TH,Sara Buri,minor,,
Lamae,9.7679,99.0926,Thailand,TH,Chumphon,minor,,
Khao Chamao,12.9759,101.6851,Thailand,TH,Rayong,minor,,
Chiang Kham,19.5233,100.3000,Thailand,TH,Phayao,minor,,
Khun Han,14.6174,104.4251,Thailand,TH,Sisaket,minor,,
Tha Chana,9.5720,99.1659,Thailand,TH,Surat Thani,minor,,
Saba Yoi,6.6175,100.9519,Thailand,TH,Songkhla,minor,,
Hang Chat,18.3288,99.3462,Thailand,TH,Lampang,minor,,
Lahan Sai,14.4114,102.8594,Thailand,TH,Buriram,minor,,
Si Songkhram,17.6274,104.2507,Thailand,TH,Nakhon Phanom,minor,,
Chun,19.3369,100.1348,Thailand,TH,Phayao,minor,,
Ao Luek,8.3775,98.7217,Thailand,TH,Krabi,minor,,
Khanom,9.2047,99.8611,Thailand,TH,Nakhon Si Thammarat,minor,,
Nong Bua,15.8646,100.5858,Thailand,TH,Nakhon Sawan,minor,,
Nong Muang,15.2459,100.6556,Thailand,TH,Lop Buri,minor,,
Sanam Chai Khet,13.6586,101.4391,Thailand,TH,Chachoengsao,minor,,
Wat Sing,15.2599,100.0404,Thailand,TH,Chai Nat,minor,,
Pho Sai,15.8259,105.2606,Thailand,TH,Ubon Ratchathani,minor,,
Ban Phue,17.6888,102.4788,Thailand,TH,Udon Thani,minor,,
Sawang Arom,15.5839,99.8609,Thailand,TH,Uthai Thani,minor,,
Chai Badan,15.2061,101.1368,Thailand,TH,Lop Buri,minor,,
Si That,16.9736,103.2164,Thailand,TH,Udon Thani,minor,,
Huai Phueng,16.6504,103.9100,Thailand,TH,Kalasin,minor,,
Huai Krachao,14.3275,99.6677,Thailand,TH,Kanchanaburi,minor,,
Tak Fa,15.3492,100.4952,Thailand,TH,Nakhon Sawan,minor,,
Phu Phiang,18.7380,100.8003,Thailand,TH,Nan,minor,,
Nam Som,17.7704,102.1895,Thailand,TH,Udon Thani,minor,,
Sa Bot,15.2101,100.8308,Thailand,TH,Lop Buri,minor,,
Wang Wiset,7.7363,99.3987,Thailand,TH,Trang,minor,,
Soeng Sang,14.4264,102.4606,Thailand,TH,Nakhon Ratchasima,minor,,
Tha Tako,15.6422,100.4784,Thailand,TH,Nakhon Sawan,minor,,
Ban Muang,17.8508,103.5694,Thailand,TH,Sakon Nakhon,minor,,
Pla Pak,17.1806,104.5261,Thailand,TH,Nakhon Phanom,minor,,
Khiri Ratthanikhom,9.0302,98.9529,Thailand,TH,Surat Thani,minor,,
Kaset Sombun,16.2805,101.9542,Thailand,TH,Chaiyaphum,minor,,
Doi Luang,20.1178,100.0992,Thailand,TH,Chiang Rai,minor,,
Phu Pha Man,16.6489,101.9010,Thailand,TH,Khon Kaen,minor,,
Chom Thong,18.4174,98.6743,Thailand,TH,Chiang Mai,minor,,
Chon Daen,16.1895,100.8596,Thailand,TH,Phetchabun,minor,,
Bung Khla,18.3023,103.9742,Thailand,TH,Bueng Kan,minor,,
Plai Phraya,8.5328,98.8637,Thailand,TH,Krabi,minor,,
Sirindhorn,15.2008,105.3922,Thailand,TH,Ubon Ratchathani,minor,,
Phran Kratai,16.6651,99.5889,Thailand,TH,Kamphaeng Phet,minor,,
Lom Kao,16.8861,101.2289,Thailand,TH,Phetchabun,minor,,
Makham,12.6729,102.1958,Thailand,TH,Chanthaburi,minor,,
Ta Phraya,14.0031,102.8054,Thailand,TH,Sa Kaeo,minor,,
Den Chai,17.9837,100.0522,Thailand,TH,Phrae,minor,,
Si Mueang Mai,15.4931,105.2762,Thailand,TH,Ubon Ratchathani,minor,,
Bo Rai,12.5728,102.5371,Thailand,TH,Trat,minor,,
Pua,19.1750,100.9162,Thailand,TH,Nan,minor,,
Watthana Nakhon,13.7446,102.3186,Thailand,TH,Sa Kaeo,minor,,
Noen Maprang,16.5667,100.6333,Thailand,TH,Phitsanulok,minor,,
Bang Khan,8.0269,99.4737,Thailand,TH,Nakhon Si Thammarat,minor,,
Sikao,7.5716,99.3449,Thailand,TH,Trang,minor,,
Wiang Kaen,20.1130,100.5133,Thailand,TH,Chiang Rai,minor,,
Nam Yuen,14.4894,105.0009,Thailand,TH,Ubon Ratchathani,minor,,
Phon Sawan,17.4563,104.4688,Thailand,TH,Nakhon Phanom,minor,,
Wang Sombun,13.3618,102.1911,Thailand,TH,Sa Kaeo,minor,,
Chom Bueng,13.6200,99.5917,Thailand,TH,Ratchaburi,minor,,
Tha Wang Pha,19.1219,100.8111,Thailand,TH,Nan,minor,,
Palian,7.1724,99.6862,Thailand,TH,Trang,minor,,
Nong Hin,17.1236,101.8579,Thailand,TH,Loei,minor,,
Khian Sa,8.8430,99.1986,Thailand,TH,Surat Thani,minor,,
Samran,16.8632,103.5411,Thailand,TH,Kalasin,minor,,
Mae Taeng,19.1171,98.9418,Thailand,TH,Chiang Mai,minor,,
Lam Thap,8.0723,99.2922,Thailand,TH,Krabi,minor,,
Wang Chao,16.6744,99.2690,Thailand,TH,Tak,minor,,
Si Banphot,7.7214,99.8843,Thailand,TH,Phatthalung,minor,,
Phai Sali,15.6000,100.6494,Thailand,TH,Nakhon Sawan,minor,,
Khlong Thom,7.9375,99.1446,Thailand,TH,Krabi,minor,,
Thepharak,15.3087,101.5505,Thailand,TH,Nakhon Ratchasima,minor,,
Pathum Ratchawongsa,15.8922,104.9056,Thailand,TH,Amnat Charoen,minor,,
Lam Sonthi,15.3015,101.3637,Thailand,TH,Lop Buri,minor,,
Buntharik,14.7564,105.4115,Thailand,TH,Ubon Ratchathani,minor,,
Kut Bak,17.0888,103.8188,Thailand,TH,Sakon Nakhon,minor,,
Bua Chet,14.5281,103.9457,Thailand,TH,Surin,minor,,
Dan Makham Tia,13.8534,99.4104,Thailand,TH,Kanchanaburi,minor,,
Pak Phli,14.1631,101.2689,Thailand,TH,Nakhon Nayok,minor,,
Chai Buri,8.4622,99.0763,Thailand,TH,Surat Thani,minor,,
Wang Sam Mo,16.9529,103.4365,Thailand,TH,Udon Thani,minor,,
Khuan Kalong,6.8454,100.0715,Thailand,TH,Satun,minor,,
Chaiya,9.3862,99.1986,Thailand,TH,Surat Thani,minor,,
Nong Prue,14.6078,99.4578,Thailand,TH,Kanchanaburi,minor,,
Khok Charoen,15.3793,100.8187,Thailand,TH,Lop Buri,minor,,
Wang Yang,17.0575,104.4533,Thailand,TH,Nakhon Phanom,minor,,
Pathio,10.7091,99.3182,Thailand,TH,Chumphon,minor,,
Thep Sathit,15.3925,101.4506,Thailand,TH,Chaiyaphum,minor,,
Phipun,8.5604,99.6070,Thailand,TH,Nakhon Si Thammarat,minor,,
Soi Dao,13.1289,102.2140,Thailand,TH,Chanthaburi,minor,,
Chiang Khan,17.8938,101.6600,Thailand,TH,Loei,minor,,
Chaloem Phra Kiat,19.5788,101.0801,Thailand,TH,Nan,minor,,
Rong Kwang,18.3390,100.3174,Thailand,TH,Phrae,minor,,
Tao Ngoi,16.9969,104.1667,Thailand,TH,Sakon Nakhon,minor,,
Ban Tak,17.0433,99.0813,Thailand,TH,Tak,minor,,
Phop Phra,16.3846,98.6903,Thailand,TH,Tak,minor,,
Kapoe,9.5852,98.5961,Thailand,TH,Ranong,minor,,
Kui Buri,12.0828,99.8543,Thailand,TH,Prachuap Khiri Khan,minor,,
Na Di,14.1152,101.7819,Thailand,TH,Prachin Buri,minor,,
Khok Sung,13.8382,102.6225,Thailand,TH,Sa Kaeo,minor,,
Manang,6.9993,99.9216,Thailand,TH,Satun,minor,,
Si Sakhon,6.2314,101.5005,Thailand,TH,Narathiwat,minor,,
Noen Kham,14.9501,99.9390,Thailand,TH,Chai Nat,minor,,
Mae Wang,18.6160,98.7729,Thailand,TH,Chiang Mai,minor,,
Wiang Pa Pao,19.3478,99.5072,Thailand,TH,Chiang Rai,minor,,
Mae Suai,19.6563,99.5437,Thailand,TH,Chiang Rai,minor,,
Sop Prap,17.8805,99.3370,Thailand,TH,Lampang,minor,,
Phu Sing,14.5474,104.1317,Thailand,TH,Sisaket,minor,,
Lao Khwan,14.5952,99.7743,Thailand,TH,Kanchanaburi,minor,,
Chum Ta Bong,15.6319,99.5523,Thailand,TH,Nakhon Sawan,minor,,
Khong Chiam,15.3186,105.4951,Thailand,TH,Ubon Ratchathani,minor,,
Dan Chang,14.8418,99.6976,Thailand,TH,Suphan Buri,minor,,
Khon Buri,14.5254,102.2459,Thailand,TH,Nakhon Ratchasima,minor,,
Phrao,19.3659,99.2019,Thailand,TH,Chiang Mai,minor,,
Nong Mamong,15.2761,99.8664,Thailand,TH,Chai Nat,minor,,
Khao Phanom,8.2655,99.0512,Thailand,TH,Krabi,minor,,
Bang Saphan Noi,11.0754,99.4415,Thailand,TH,Prachuap Khiri Khan,minor,,
Ban Dan Lan Hoi,17.0068,99.5750,Thailand,TH,Sukhothai,minor,,
Bo Phloi,14.3252,99.5147,Thailand,TH,Kanchanaburi,minor,,
Tha Sae,10.6646,99.1728,Thailand,TH,Chumphon,minor,,
Suk Samran,9.3446,98.4290,Thailand,TH,Ranong,minor,,
Wang Nuea,19.1468,99.6193,Thailand,TH,Lampang,minor,,
Wang Chin,17.8935,99.6032,Thailand,TH,Phrae,minor,,
Phu Phan,16.9989,103.9735,Thailand,TH,Sakon Nakhon,minor,,
Wat Bot,16.9811,100.3319,Thailand,TH,Phitsanulok,minor,,
Na Thom,17.7849,104.0908,Thailand,TH,Nakhon Phanom,minor,,
Mae Wong,15.7816,99.5186,Thailand,TH,Nakhon Sawan,minor,,
Mae Tha,18.1341,99.5139,Thailand,TH,Lampang,minor,,
Sam Roi Yot,12.2708,99.8720,Thailand,TH,Prachuap Khiri Khan,minor,,
Lan Sak,15.4529,99.5761,Thailand,TH,Uthai Thani,minor,,
Chanae,6.0991,101.6935,Thailand,TH,Narathiwat,minor,,
Long,18.0742,99.8307,Thailand,TH,Phrae,minor,,
Khlong Lan,16.2033,99.3200,Thailand,TH,Kamphaeng Phet,minor,,
Pang Sila Thong,16.0963,99.4891,Thailand,TH,Kamphaeng Phet,minor,,
Sangkhom,18.0639,102.2736,Thailand,TH,Nong Khai,minor,,
Pak Chom,18.0206,101.8983,Thailand,TH,Loei,minor,,
Huai Khot,15.2909,99.6166,Thailand,TH,Uthai Thani,minor,,
Chanuman,16.2336,105.0005,Thailand,TH,Amnat Charoen,minor,,
La-Un,10.1165,98.7500,Thailand,TH,Ranong,minor,,
Thung Hua Chang,18.0030,99.0278,Thailand,TH,Lamphun,minor,,
Soem Ngam,18.0651,99.2454,Thailand,TH,Lampang,minor,,
Nakhon Thai,17.1006,100.8374,Thailand,TH,Phitsanulok,minor,,
Sukhirin,5.9389,101.7708,Thailand,TH,Narathiwat,minor,,
Na Yung,17.8975,102.1498,Thailand,TH,Udon Thani,minor,,
Dong Luang,16.8159,104.5380,Thailand,TH,Mukdahan,minor,,
Mae Poen,15.6579,99.4698,Thailand,TH,Nakhon Sawan,minor,,
Chiang Dao,19.3654,98.9645,Thailand,TH,Chiang Mai,minor,,
Phu Luang,17.1392,101.6639,Thailand,TH,Loei,minor,,
Hot,18.1932,98.6104,Thailand,TH,Chiang Mai,minor,,
Non Din Daeng,14.3135,102.7481,Thailand,TH,Buriram,minor,,
Ka Bang,6.4154,101.0546,Thailand,TH,Yala,minor,,
Phakdi Chumphon,15.9052,101.4223,Thailand,TH,Chaiyaphum,minor,,
Khon San,16.6129,101.9194,Thailand,TH,Chaiyaphum,minor,,
Thong Saen Khan,17.4706,100.3315,Thailand,TH,Uttaradit,minor,,
Song,18.4720,100.1835,Thailand,TH,Phrae,minor,,
Nong Bua Daeng,16.0798,101.8022,Thailand,TH,Chaiyaphum,minor,,
Wang Nam Khiao,14.4180,101.8611,Thailand,TH,Nakhon Ratchasima,minor,,
Ngao,18.7568,99.9781,Thailand,TH,Lampang,minor,,
Santi Suk,18.9137,100.9417,Thailand,TH,Nan,minor,,
Nopphitam,8.7221,99.7488,Thailand,TH,Nakhon Si Thammarat,minor,,
Na Duang,17.4782,101.9736,Thailand,TH,Loei,minor,,
Pong Nam Ron,12.9057,102.2622,Thailand,TH,Chanthaburi,minor,,
Wiang Haeng,19.5570,98.6425,Thailand,TH,Chiang Mai,minor,,
Khao Kho,16.6579,101.0221,Thailand,TH,Phetchabun,minor,,
Suan Phueng,13.5429,99.3396,Thailand,TH,Ratchaburi,minor,,
Nong Bua Rawe,15.7531,101.7640,Thailand,TH,Chaiyaphum,minor,,
Li,17.8027,98.9510,Thailand,TH,Lamphun,minor,,
Chae Hom,18.7127,99.5576,Thailand,TH,Lampang,minor,,
Tha Song Yang,17.2271,98.2257,Thailand,TH,Tak,minor,,
Nong Saeng,17.1674,102.7808,Thailand,TH,Udon Thani,minor,,
Phu Kradueng,16.8843,101.8847,Thailand,TH,Loei,minor,,
Doi Tao,17.9529,98.6846,Thailand,TH,Chiang Mai,minor,,
Sap Yai,15.6374,101.6167,Thailand,TH,Chaiyaphum,minor,,
Khao Khitchakut,12.8048,102.1151,Thailand,TH,Chanthaburi,minor,,
Tha Li,17.6236,101.4210,Thailand,TH,Loei,minor,,
Khura Buri,9.1940,98.4151,Thailand,TH,Phangnga,minor,,
Mueang Pan,18.7680,99.5025,Thailand,TH,Lampang,minor,,
Tha Chang,9.2642,99.1922,Thailand,TH,Surat Thani,minor,,
Wiphawadi,9.2389,98.9786,Thailand,TH,Surat Thani,minor,,
Mae Mo,18.2756,99.6504,Thailand,TH,Lampang,minor,,
Mae Ramat,16.9840,98.5166,Thailand,TH,Tak,minor,,
Chaloem Phra Kiat,15.0051,102.2703,Thailand,TH,Nakhon Ratchasima,minor,,
Wiang Sa,18.5986,100.7410,Thailand,TH,Nan,minor,,
Tha Takiap,13.4455,101.6113,Thailand,TH,Chachoengsao,minor,,
Kaeng Hang Maeo,13.0083,101.9061,Thailand,TH,Chanthaburi,minor,,
Phanom,8.8547,98.8127,Thailand,TH,Surat Thani,minor,,
Thung Chang,19.3879,100.8762,Thailand,TH,Nan,minor,,
Dan Sai,17.2801,101.1469,Thailand,TH,Loei,minor,,
Tha Pla,17.7911,100.3761,Thailand,TH,Uttaradit,minor,,
Than To,6.1674,101.1801,Thailand,TH,Yala,minor,,
Samoeng,18.8481,98.7324,Thailand,TH,Chiang Mai,minor,,
Chat Trakan,17.2761,100.6002,Thailand,TH,Phitsanulok,minor,,
Na Noi,18.3264,100.7142,Thailand,TH,Nan,minor,,
Phato,9.7909,98.7766,Thailand,TH,Chumphon,minor,,
Kapong,8.6970,98.4091,Thailand,TH,Phangnga,minor,,
Sop Moei,17.9621,97.9329,Thailand,TH,Mae Hong Son,minor,,
Ban Luang,18.8497,100.4372,Thailand,TH,Nan,minor,,
Mae Phrik,17.4469,99.1142,Thailand,TH,Lampang,minor,,
Ko Chang,12.1044,102.3524,Thailand,TH,Trat,minor,,
Pong,19.1493,100.2752,Thailand,TH,Phayao,minor,,
Chiang Muan,18.8897,100.3059,Thailand,TH,Phayao,minor,,
Chaem Luang,19.0319,98.2877,Thailand,TH,Chiang Mai,minor,,
Mae Chaem,18.4993,98.3649,Thailand,TH,Chiang Mai,minor,,
Ban Kha,13.4305,99.4097,Thailand,TH,Ratchaburi,minor,,
Mae La Noi,18.3975,97.9127,Thailand,TH,Mae Hong Son,minor,,
Nam Pat,17.7281,100.6843,Thailand,TH,Uttaradit,minor,,
Phu Ruea,17.4538,101.3623,Thailand,TH,Loei,minor,,
Om Koi,17.8012,98.3593,Thailand,TH,Chiang Mai,minor,,
Fak Tha,17.9995,100.8801,Thailand,TH,Uttaradit,minor,,
Ko Kut,11.6586,102.5420,Thailand,TH,Trat,minor,,
Song Khwae,19.3596,100.7004,Thailand,TH,Nan,minor,,
Na Muen,18.1893,100.6605,Thailand,TH,Nan,minor,,
Mae Sariang,18.1617,97.9354,Thailand,TH,Mae Hong Son,minor,,
Sai Yok,14.1190,99.1420,Thailand,TH,Kanchanaburi,minor,,
Bo Kluea,19.1503,101.1556,Thailand,TH,Nan,minor,,
Nam Nao,16.7675,101.6692,Thailand,TH,Phetchabun,minor,,
Ban Rai,15.0842,99.5211,Thailand,TH,Uthai Thani,minor,,
Sop Pong,19.5188,98.2604,Thailand,TH,Mae Hong Son,minor,,
Mae Charim,18.7061,101.0057,Thailand,TH,Nan,minor,,
Sam Ngao,17.2433,99.0226,Thailand,TH,Tak,minor,,
Ban Khok,18.0261,101.0677,Thailand,TH,Uttaradit,minor,,
Na Haeo,17.4854,101.0681,Thailand,TH,Loei,minor,,
Thong Pha Phum,14.7434,98.6310,Thailand,TH,Kanchanaburi,minor,,
Nong Ya Plong,13.1629,99.6972,Thailand,TH,Phetchaburi,minor,,
Khun Yuam,18.8296,97.9335,Thailand,TH,Mae Hong Son,minor,,
Ban Takhun,8.9036,98.8845,Thailand,TH,Surat Thani,minor,,
Sangkhla Buri,15.1555,98.4536,Thailand,TH,Kanchanaburi,minor,,
Kaeng Krachan,12.9074,99.6479,Thailand,TH,Phetchaburi,minor,,
Pai,19.3589,98.4394,Thailand,TH,Mae Hong Son,minor,,
Wiang Nuea,19.3797,98.4464,Thailand,TH,Mae Hong Son,minor,,
Mae Hi,19.3429,98.4502,Thailand,TH,Mae Hong Son,minor,,
Si Sawat,14.5992,99.1141,Thailand,TH,Kanchanaburi,minor,,
Umphang,16.0162,98.8627,Thailand,TH,Tak,minor,,
Wiang Kao,16.6825,102.2851,Thailand,TH,Khon Kaen,minor,,
